term,isco88
legislator,110
executive,1210
manager,1220
manager,1221
manager,1223
manager,1225
manager,1226
manager,1227
manager,1234
manager,1235
manager,1236
manager,1239
manager_of_branch_store,1313
manager_of_branch_store,1319
physicist,2110
engineer,2144
engineer,2147
scientist,2213
doctor,2229
professor,2310
teacher,2320
elementary_school_teacher,2332
teacher,2340
professional,2412
professional,2419
scientist,2440
interpreter,2444
musician,2453
technician,3110
technician,3112
technician,3118
computer_support_specialist,3121
photographer,3131
ship_captain,3142
inspector,3152
technician,3212
physician,3226
physician,3229
teacher,3300
teacher,3340
professional,3432
civil_servant,3442
civil_servant,3443
detective,3450
clerk,4110
accountant,4121
accountant,4122
travel_agent,4221
flight_attendant,5111
nursing_assistant,5133
police_officer,5163
salesperson,5200
farmer,6129
construction_laborer,7141
machine_operator_in_a_factory,7200
machine_operator_in_a_factory,7223
auto_mechanic,7232
craftsman,7324
craftsman,7341
textile_worker,7435
textile_worker,7437
machine_operator_in_a_factory,8100
machine_operator_in_a_factory,8113
machine_operator_in_a_factory,8123
machine_operator_in_a_factory,8141
machine_operator_in_a_factory,8151
machine_operator_in_a_factory,8155
machine_operator_in_a_factory,8161
machine_operator_in_a_factory,8162
machine_operator_in_a_factory,8200
machine_operator_in_a_factory,8221
machine_operator_in_a_factory,8224
machine_operator_in_a_factory,8230
machine_operator_in_a_factory,8231
machine_operator_in_a_factory,8232
machine_operator_in_a_factory,8253
machine_operator_in_a_factory,8261
assembly_line_worker,8282
railroad_engineer,8310
bulldozer_operator,8332
crane_operator,8333
bulldozer_operator,8334
salesperson,9110
salesperson,9113
security_guard,9152
garbage_collector,9160
laborer,9213
construction_laborer,9312
legislator,1110
governor,1120
manager,1229
bank_manager,1231
manager,1232
manager,1233
supervisor,1240
forest_ranger,1311
manager_of_branch_store,1314
physicist,2100
physicist,2111
chemist,2113
geologist,2114
statistician,2122
computer_programmer,2131
computer_support_specialist,2132
architect,2141
civil_engineer,2142
electrical_engineer,2143
mechanical_engineer,2145
chemical_engineer,2146
architect,2149
biologist,2211
doctor,2221
dentist,2222
veterinarian,2223
pharmacist,2224
professor,2230
teacher,2321
elementary_school_teacher,2331
teacher,2359
accountant,2411
lawyer,2421
judge,2422
librarian,2431
librarian,2432
economist,2441
psychologist,2445
social_worker,2446
journalist,2451
artist,2452
actor,2455
clergy,2460
technician,3111
technician,3113
technician,3115
technician,3119
computer_support_specialist,3122
switchboard_operator,3132
airline_pilot,3143
fire_investigator,3151
technician,3211
nursing_assistant,3221
nutritionist,3223
dental_assistant,3225
nurse,3231
bank_teller,3410
stockbroker,3411
insurance_agent,3412
real_estate_agent,3413
salesperson,3415
wholesaler,3416
auctioneer,3417
stockbroker,3429
civil_servant,3444
social_worker,3460
decorator,3471
radio_and_television_announcer,3472
street_musician,3473
athlete,3475
church_deacon,3480
clerk,4100
typist,4111
clerical_worker,4113
secretary,4115
shop_clerk,4131
clerk,4132
clerk,4133
library_assistant,4141
mail_carrier,4142
advertising_copy_writer,4143
file_clerk,4190
cashier,4211
bank_teller,4212
bill_collector,4215
receptionist,4222
telephone_operator,4223
security_guard,5110
railroad_conductor,5112
chambermaid,5120
housekeeper,5121
cook,5122
waitress,5123
baby_sitter,5131
nursing_assistant,5132
hairdresser,5141
firefighter,5161
police_officer,5162
security_guard,5169
salesclerk,5220
landscaper,6113
farmer,6132
farmer,6133
logger,6141
coal_miner,7110
miner,7111
miner,7112
bricklayer,7122
cement_worker,7123
carpenter,7124
construction_laborer,7129
roofer,7131
cement_worker,7132
construction_laborer,7133
plumber,7136
electrician,7137
custodian,7143
welder,7212
sheet_metal_worker,7213
blacksmith,7221
tool_and_die_maker,7222
machine_repairer,7230
auto_mechanic,7231
machine_repairer,7233
laborer,7234
electrician,7240
electrical_linesman,7241
tv_repairman,7242
telephone_installer,7244
electrical_linesman,7245
sheet_metal_worker,7310
tool_and_die_maker,7311
jeweler,7313
carpenter,7331
photographer,7344
butcher,7411
baker,7412
cabinet_maker,7420
cabinet_maker,7422
tailor,7433
sewing_machine_operator,7436
shoe_repairman,7442
supervisor,7510
craftsman,7520
steel_worker,8122
machine_operator,8151
machine_operator,8211
sheet_metal_worker,8223
machine_operator,8229
machine_operator,8240
machine_operator,8251
textile_worker,8262
sewing_machine_operator,8263
textile_worker,8264
shoe_repairman,8266
textile_worker,8269
machine_operator,8270
machine_operator,8274
machine_operator,8275
machine_operator,8290
railroad_engineer,8311
railroad_engineer,8312
taxi_driver,8322
bus_driver,8323
truck_driver,8324
bulldozer_operator,8330
machine_operator,8400
housekeeper,9131
janitor,9132
janitor,9140
handyman,9141
bellhop,9151
garbage_collector,9161
farm_laborer,9211
laborer,9300
miner,9311
construction_laborer,9313
laborer,9320
assembly_line_worker,9321
assembly_line_worker,9322
laborer,9333
