actor,object,optimal_behavior,stimuli_behavior,distance,distance_distances,mod,gp,optimal_behavior_first_word,optimal_behavior_rest,optimal_behavior_all,stimuli_behavior_first_word,stimuli_behavior_rest,stimuli_behavior_all,actor_object_pair
bailiff,bailiff,show something to,get even with,8.3626,8.391499407,1,1,shows,something to,shows something to,gets,even with,gets even with,bailiff __________ bailiff
bailiff,bailiff,show something to,leave,8.9521,8.820999599,2,2,shows,something to,shows something to,leaves,NA,leaves,bailiff __________ bailiff
bailiff,civil engineer,serve,bicker with,16.676,15.41894929,3,3,serves,NA,serves,bickers,with,bickers with,bailiff __________ civil engineer
bailiff,civil engineer,serve,yell at,18.5643,17.05578673,4,4,serves,NA,serves,yells,at,yells at,bailiff __________ civil engineer
bailiff,cook,ask about,laugh at,8.4777,7.846729212,5,4,asks,about,asks about,laughs,at,laughes at,bailiff __________ cook
bailiff,cook,ask about,provoke,14.0505,12.92097427,6,3,asks,about,asks about,provokes,NA,provokes,bailiff __________ cook
bailiff,crane operator,show something to,gawk at,7.5918,7.810080404,7,2,shows,something to,shows something to,gawks,at,gawks at,bailiff __________ crane operator
bailiff,crane operator,show something to,blabber to,10.4714,11.58780321,8,1,shows,something to,shows something to,blabbers,to,blabbers to,bailiff __________ crane operator
bailiff,defense attorney,sit next to,exclude,13.2821,13.8363133,9,1,sits,next to,sits next to,excludes,NA,excludes,bailiff __________ defense attorney
bailiff,defense attorney,sit next to,terrorize,27.2932,27.02550971,10,2,sits,next to,sits next to,terrorizes,NA,terrorizes,bailiff __________ defense attorney
bailiff,dental hygienist,identify,sneer at,13.1002,13.14119943,11,3,identifies,NA,identifies,sneers,at,sneers at,bailiff __________ dental hygienist
bailiff,dental hygienist,identify,terrorize,26.459,27.22511695,12,4,identifies,NA,identifies,terrorizes,NA,terrorizes,bailiff __________ dental hygienist
bailiff,dentist,serve,apprehend,6.4458,5.447779149,13,4,serves,NA,serves,apprehends,NA,apprehends,bailiff __________ dentist
bailiff,dentist,serve,debase,10.6658,9.750242827,14,3,serves,NA,serves,debases,NA,debases,bailiff __________ dentist
bailiff,firefighter,ask about,baby,10.6817,10.81172325,15,2,asks,about,asks about,babies,NA,babies,bailiff __________ firefighter
bailiff,firefighter,ask about,dominate,14.2685,14.49951459,16,1,asks,about,asks about,dominates,NA,dominates,bailiff __________ firefighter
bailiff,foreman,show something to,criticize,6.2494,6.594052051,3,1,shows,something to,shows something to,criticizes,NA,criticizes,bailiff __________ foreman
bailiff,foreman,show something to,confine,10.8029,10.20334261,4,2,shows,something to,shows something to,confines,NA,confines,bailiff __________ foreman
bailiff,musician,identify,assist,5.0942,5.236381223,5,3,identifies,NA,identifies,assists,NA,assists,bailiff __________ musician
bailiff,musician,identify,defame,10.5758,11.21847941,6,4,identifies,NA,identifies,defames,NA,defames,bailiff __________ musician
bailiff,nurse,ask about,flee,5.9329,5.376782697,7,4,asks,about,asks about,flees,NA,flees,bailiff __________ nurse
bailiff,nurse,ask about,liberate,6.311,6.309206541,8,3,asks,about,asks about,liberates,NA,liberates,bailiff __________ nurse
bailiff,nutritionist,escort,chide,6.4025,6.134039471,9,2,escorts,NA,escorts,chides,NA,chides,bailiff __________ nutritionist
bailiff,nutritionist,escort,imitate,8.2677,7.794830696,10,1,escorts,NA,escorts,imitates,NA,imitates,bailiff __________ nutritionist
bailiff,pediatrician,ask about,argue with,14.9378,14.52535814,11,1,asks,about,asks about,argues,with,argues with,bailiff __________ pediatrician
bailiff,pediatrician,ask about,conspire against,14.7085,15.2041378,12,2,asks,about,asks about,conspires,against,conspires against,bailiff __________ pediatrician
