actor,object,mod,gp,optimal_behavior_all,stimuli_behavior_all,identifier,old_name
bailiff,bailiff,1,1,shows something to,gets even with,1_1_bl_bl,qid442
cook,defense attorney,1,1,chats with,restrains,1_1_ck_da,1_1_ck_da
defense attorney,firefighter,1,1,toasts,insults,1_1_da_ff,1_1_da_ff
dentist,crane operator,1,1,serves,fails,1_1_dt_co,1_1_dt_co
musician,pediatrician,1,1,jokes with,discredits,1_1_mu_pd,1_1_mu_pd
nutritionist,foreman,1,1,turns to,confronts,1_1_nt_fm,1_1_nt_fm
surgeon,nutritionist,1,1,guides,neglects,1_1_sr_nt,1_1_sr_nt
technician,technician,1,1,asks about,bluffs,1_1_te_te,1_1_te_te
bailiff,technician,1,2,shows something to,hunts for,1_2_bl_te,1_2_bl_te
cook,nutritionist,1,2,toasts,disillusions,1_2_ck_nt,1_2_ck_nt
dental hygienist,pediatrician,1,2,asks about,pesters,1_2_dh_pd,1_2_dh_pd
firefighter,foreman,1,2,coachs,plots against,1_2_ff_fm,1_2_ff_fm
foreman,firefighter,1,2,asks about,baits,1_2_fm_ff,1_2_fm_ff
nurse,crane operator,1,2,dines with,inspires,1_2_nr_co,1_2_nr_co
surgeon,defense attorney,1,2,counsels,gives in to,1_2_sr_da,1_2_sr_da
technician,bailiff,1,2,serves,plots against,1_2_te_bl,1_2_te_bl
civil engineer,surgeon,1,3,asks about,babies,1_3_ce_sr,1_3_ce_sr
crane operator,musician,1,3,asks about,misjudges,1_3_co_mu,1_3_co_mu
defense attorney,teacher,1,3,calls,torments,1_3_da_tr,1_3_da_tr
dentist,nurse,1,3,answers,fears,1_3_dt_nr,1_3_dt_nr
musician,dental hygienist,1,3,chats with,displeases,1_3_mu_dh,1_3_mu_dh
nutritionist,civil engineer,1,3,dines with,reproaches,1_3_nt_ce,1_3_nt_ce
pediatrician,dentist,1,3,treats,scares,1_3_pd_dt,1_3_pd_dt
teacher,cook,1,3,attends to,incites,1_3_tr_ck,1_3_tr_ck
civil engineer,dentist,1,4,turns to,amazes,1_4_ce_dt,1_4_ce_dt
crane operator,cook,1,4,asks about,denies,1_4_co_ck,1_4_co_ck
dental hygienist,dental hygienist,1,4,asks about,deflates,1_4_dh_dh,1_4_dh_dh
firefighter,civil engineer,1,4,congratulates,kowtows to,1_4_ff_ce,1_4_ff_ce
foreman,teacher,1,4,asks about,disqualifies,1_4_fm_tr,1_4_fm_tr
nurse,nurse,1,4,replies to,alarms,1_4_nr_nr,1_4_nr_nr
pediatrician,surgeon,1,4,eats with,nags,1_4_pd_sr,1_4_pd_sr
teacher,musician,1,4,explains something to,extols,1_4_tr_mu,1_4_tr_mu
bailiff,technician,2,1,shows something to,distrusts,2_1_bl_te,2_1_bl_te
cook,nutritionist,2,1,toasts,jeers,2_1_ck_nt,2_1_ck_nt
defense attorney,bailiff,2,1,bargains with,harangues,2_1_da_bl,2_1_da_bl
dentist,defense attorney,2,1,serves,corners,2_1_dt_da,2_1_dt_da
musician,nutritionist,2,1,chats with,lies to,2_1_mu_nt,2_1_mu_nt
nutritionist,technician,2,1,turns to,shafts,2_1_nt_te,2_1_nt_te
surgeon,defense attorney,2,1,counsels,constrains,2_1_sr_da,2_1_sr_da
technician,bailiff,2,1,serves,impedes,2_1_te_bl,2_1_te_bl
bailiff,bailiff,2,2,shows something to,leaves,2_2_bl_bl,2_2_bl_bl
cook,defense attorney,2,2,chats with,scowls at,2_2_ck_da,2_2_ck_da
defense attorney,technician,2,2,acclaims,upsets,2_2_da_te,2_2_da_te
dentist,nutritionist,2,2,consults,provokes,2_2_dt_nt,2_2_dt_nt
musician,defense attorney,2,2,calls,condemns,2_2_mu_da,2_2_mu_da
nutritionist,bailiff,2,2,turns to,undermines,2_2_nt_bl,2_2_nt_bl
surgeon,nutritionist,2,2,guides,shouts at,2_2_sr_nt,2_2_sr_nt
technician,technician,2,2,asks about,eludes,2_2_te_te,2_2_te_te
civil engineer,dentist,2,3,turns to,misunderstands,2_3_ce_dt,2_3_ce_dt
crane operator,cook,2,3,asks about,accosts,2_3_co_ck,2_3_co_ck
dental hygienist,surgeon,2,3,asks about,scoffs at,2_3_dh_sr,2_3_dh_sr
firefighter,musician,2,3,congratulates,poohes pooh,2_3_ff_mu,2_3_ff_mu
foreman,dentist,2,3,shows something to,elects,2_3_fm_dt,2_3_fm_dt
nurse,cook,2,3,replies to,chews out,2_3_nr_ck,2_3_nr_ck
pediatrician,surgeon,2,3,eats with,grouses at,2_3_pd_sr,2_3_pd_sr
